,pop_id,year,authors,journal,title,type,filepath
136,136,2020,Weyland,Perspectives on Politics,Populism’s Threat to Democracy: Comparative Lessons for the United States,article,Perspectives on Politics/2020 - Weyland - Populism´s Threat to Democracy Comparative Lessons for the United States.pdf
137,137,2013,"Bordignon, Ceccarini",South European Society and Politics,Five Stars and a Cricket. Beppe Grillo Shakes Italian Politics,article,"South European Society and Politics/2013 - Bordignon, Ceccarini - Five Stars and a Cricket Beppe Grillo Shakes Italian Politics.pdf"
138,138,2014,Bordignon,South European Society and Politics,Matteo Renzi: A ‘Leftist Berlusconi’ for the Italian Democratic Party?,article,South European Society and Politics/2014 - Bordignon - Matteo Renzi A Leftist Berlusconi for the Italian Democratic Party.pdf
139,139,2015,"Alonso, Rovira Kaltwasser",South European Society and Politics,Spain: No Country for the Populist Radical Right?,article,"South European Society and Politics/2015 - Alonso, Rovira Kaltwasser - Spain No Country for the Populist Radical Right.pdf"
140,140,2015,Özen,South European Society and Politics,An Unfinished Grassroots Populism: The Gezi Park Protests in Turkey and Their Aftermath,article,South European Society and Politics/2015 - Özen - An Unfinished Grassroots Populism The Gezi Park Protests in Turkey and Their Aftermath.pdf
141,141,2016,"Bobba, McDonnell",South European Society and Politics,Different Types of Right-Wing Populist Discourse in Government and Opposition: The Case of Italy,article,"South European Society and Politics/2016 - Bobba, McDonnell - Different Types of Right Wing Populist Discourse in Government and Opposition The Case of Italy.pdf"
142,142,2016,Rodríguez-Teruel et al.,South European Society and Politics,Fast and Furious: Podemos’ Quest for Power in Multi-level Spain,article,South European Society and Politics/2016 - Rodríguez-Teruel et al. - Fast and Furious Podemos Quest for Power in Multi level Spain.pdf
143,143,2018,"Charalambous, Christoforou",South European Society and Politics,Far-Right Extremism and Populist Rhetoric: Greece and Cyprus during an Era of Crisis,article,"South European Society and Politics/2018 - Charalambous, Christoforou - Far Right Extremism and Populist Rhetoric Greece and Cyprus during an Era of Crisis.pdf"
144,144,2018,"Lisi, Borghetto",South European Society and Politics,"Populism, Blame Shifting and the Crisis: Discourse Strategies in Portuguese Political Parties",article,"South European Society and Politics/2018 - Lisi, Borghetto - Populism Blame Shifting and the Crisis Discourse Strategies in Portuguese Political Parties.pdf"
145,145,2018,Tronconi,South European Society and Politics,The Italian Five Star Movement during the Crisis: Towards Normalisation?,article,South European Society and Politics/2018 - Tronconi - The Italian Five Star Movement during the Crisis Towards Normalisation.pdf
146,146,2019,Sözen,South European Society and Politics,Competition in a Populist Authoritarian Regime: The June 2018 Dual Elections in Turkey,article,South European Society and Politics/2019 - Sözen - Competition in a Populist Authoritarian Regime The June 2018 Dual Elections in Turkey.pdf
147,147,2020,Conti et al.,South European Society and Politics,Policy Polarisation in Italy: The Short and Conflictual Life of the ‘Government of Change’ (2018–2019),article,South European Society and Politics/2020 - Conti et al. - Policy Polarisation in Italy The Short and Conflictual Life of the Government of Change 2018-2019.pdf
148,148,2020,"Santana-Pereira, Cancela",South European Society and Politics,Demand without Supply? Populist Attitudes and Voting Behaviour in Post-Bailout Portugal,article,"South European Society and Politics/2020 - Santana-Pereira, Cancela - Demand without Supply Populist Attitudes and Voting Behaviour in Post Bailout Portugal.pdf"
149,149,2018,Stoker,Policy and Politics,Can the governance paradigm survive the rise of populism?,article,Policy and Politics/2018 - Stoker - Can The Governance Paradigm Survive The Rise of Populism.pdf
150,150,2019,"Batory, Svensson",Policy and Politics,The use and abuse of participatory governance by populist governments,article,"Policy and Politics/2019 - Batory, Svensson - The use and abuse of participatory governance by populist governments.pdf"
151,151,2018,Walker et al.,International Political Sociology,Collective Discussion: Diagnosing the Present,article,International Political Sociology/2018 - Walker et al. - Collective Discussion_Diagnosing the Present.pdf
152,152,2019,Lizotte,Political Geography,Where are the people? Refocusing political geography on populism,article,Political Geography/2019 - Lizotte - Where are the people_Refocusing political geography on populism.pdf
153,153,2020,Bosworth,Political Geography,The People’s Climate March: Environmental populism as political genre,article,Political Geography/2020 - Bosworth - The People´s Climate March_Enivronmental populism as political genre.pdf
154,154,2020,Fall,Political Geography,"Territory, sovereignty and entitlement: Diplomatic discourses in the United Nations Security Council",article,"Political Geography/2020 - Fall - Territory, sovereignty and entitlement_Diplomatic discourse in the United Nations Security Council.pdf"
155,155,2019,"Aharoni, Féron",Cooperation and Conflict,National populism and gendered vigilantism: The case of the Soldiers of Odin in Finland,article,"Cooperation and Conflict/2019 - Aharoni, Féron - National populism and gendered vigilantism_The case of the Soldiers of Odin in Finland.pdf"
156,156,2019,"Boucher, Thies",The Journal of Politics,“I Am a Tariff Man”: The Power of Populist Foreign Policy Rhetoric under President Trump,article,"The Journal of Politics/2019 - Boucher, Thies - I Am a Tariff Man_The Power of Populist Foreign Policy Rhetoric under President Trump.pdf"
157,157,2019,"Busby, Gubler, Hawkins",The Journal of Politics,Framing and Blame Attribution in Populist Rhetoric,article,"The Journal of Politics/2019 - Busby, Gubler - Framing and Blame Attribution in Populist Rhetoric..pdf"
158,158,2019,Drezner,The Journal of Politics,Present at the Destruction: The Trump Administration and the Foreign Policy Bureaucracy,article,The Journal of Politics/2019 - Drezner - Present at the Destruction_The Trump Administration and the Foreign Policy.pdf
159,159,2017,"Steenbergen, S",European Union Politics,"Better the devil you know? Risk-taking, globalization and populism in Great Britain",article,"European Union Politics/2017 - Steenbergen, Siczek - Better the devil you know_Risk-taking, globalization and populism in Great Britain.pdf"
160,160,2012,Dinçşahin,Government and Opposition,"A Symptomatic Analysis of the Justice and Development Party’s Populism in Turkey, 2007–2010",article,"Government and Opposition/2012 - Dinçşahin - A Symptomatic Analysis of the Justice and Development Party’s Populism in Turkey, 2007–2010.pdf"
161,161,2018,"Houle, Kenny",Government and Opposition,The Political and Economic Consequences of Populist Rule in Latin America,article,"Government and Opposition/2018 - Houle, Kenny - The Political and Economic Consequences of Populist Rule in Latin America.pdf"
162,162,2020,"Hawkins, Rovira Kaltwasser, Andreadis",Government and Opposition,The Activation of Populist Attitudes,article,"Government and Opposition/2020 - Hawkins, Rovira Kaltwasser, Andreadis - The Activation of Populist Attitudes.pdf"
163,163,2018,Moore,Political Studies Review,"Conspiracies, Conspiracy Theories and Democracy",article,"Political Studies Review/2018 - Moore - Conspiracies, Conspiracy Theories and Democracy.pdf"
164,164,2019,Sozen,Political Studies Review,Populist Peril to Democracy: The Sacralization and Singularization of Competitive Elections,article,Political Studies Review/2019 - Sozen - Populist Peril to Democracy_The Sacralization and Singularization of Competitive Elections.pdf
165,165,2019,Street,Political Studies Review,What is Donald Trump? Forms of ‘Celebrity’ in Celebrity Politics,article,Political Studies Review/2019 - Street - What is Donal Trump.pdf
166,166,2020,Béland,Political Studies Review,Right-Wing Populism and the Politics of Insecurity: How President Trump Frames Migrants as Collective Threats,article,Political Studies Review/2020 - Béland - Right-Wing Populism and the Politics of Insecurity.pdf
167,167,2018,Iakhnis et al.,Research & Politics,Populist referendum: Was ‘Brexit’ an expression of nativist and anti-elitist sentiment?,article,Research & Politics/2018 - Iakhnis et al. - Populist referendum_Was Brexit an expression of nativist ananti-elitist sentiment.pdf
168,168,2019,"Kurer, Palier",Research & Politics,Shrinking and shouting: the political revolt of the declining middle in times of employment polarization,article,"Research & Politics/2019 - Kurer, Palier - Shrinking and shouting_the political revolt of the declining middle in times of employment polarization.pdf"
169,169,2020,Wuttke et al.,Research & Politics,Leader of the free world or pioneer in democracy’s decline? Examining the democratic deconsolidation hypothesis on the mass level in East and West Germany,article,Research & Politics/2020 - Wuttke et al. - Leader of the free world or pioneer in democracy’s decline. Examining the democratic deconsolidation hypothesis on the mass level in East and West Germany.pdf
170,170,2019,"Çapan, Zarakol",Cambridge Review of International Affairs,Turkey’s ambivalent self: ontological insecurity in ‘Kemalism’ versus ‘Erdoğanism’,article,"Cambridge Review of International Affairs/2019 - Çapan, Zarakol - Turkey s ambivalent self ontological insecurity in Kemalism versus Erdoganism.pdf"
171,171,2019,Steele,Cambridge Review of International Affairs,"Welcome home! Routines, ontological insecurity and the politics of US military reunion videos",article,Cambridge Review of International Affairs/2019 - Steele - Welcome home Routines ontological insecurity and the politics of US military reunion videos.pdf
172,172,2019,Subotic,Cambridge Review of International Affairs,Political memory after state death: the abandoned Yugoslav national pavilion at Auschwitz,article,Cambridge Review of International Affairs/2019 - Subotic - Political memory after state death the abandoned Yugoslav national pavilion at Auschwitz.pdf
173,173,2017,Caruso,Politics & Society,Digital Capitalism and the End of Politics: The Case of the Italian Five Star Movement,article,Politics & Society/2017 - Caruso - Digital Capitalism and the End of Politics.pdf
174,174,2012,Conversi,Democratization,Majoritarian democracy and globalization versus ethnic diversity?,article,Democratization/2012 - Conversi - Majoritarian democracy and globalization versus ethnic diversity.pdf
175,175,2012,Kaltwasser,Democratization,The ambivalence of populism: threat and corrective for democracy,article,Democratization/2012 - Kaltwasser - The ambivalence of populism threat and corrective for democracy.pdf
176,176,2013,"Levitsky, Loxton",Democratization,Populism and competitive authoritarianism in the Andes,article,"Democratization/2013 - Levitsky, Loxton - Populism and competitive authoritarianism in the Andes.pdf"
177,177,2015,"Cheeseman, Larmer",Democratization,Ethnopopulism in Africa: opposition mobilization in diverse and unequal societies,article,"Democratization/2015 - Cheeseman, Larmer - Ethnopopulism in Africa opposition mobilization in diverse and unequal societies.pdf"
178,178,2016,"Aslanidis, Kaltwasser",Democratization,Dealing with populists in government: the SYRIZA-ANEL coalition in Greece,article,"Democratization/2016 - Aslanidis, Kaltwasser - Dealing with populists in government the SYRIZA ANEL coalition in Greece.pdf"
179,179,2016,Batory,Democratization,Populists in government? Hungary's “system of national cooperation”,article,Democratization/2016 - Batory - Populists in government Hungary´s system of national cooperation.pdf
180,180,2016,"de la Torre, Ortiz Lemos",Democratization,Populist polarization and the slow death of democracy in Ecuador,article,"Democratization/2016 - de la Torre, Ortiz Lemos - Populist polarization and the slow death of democracy in Ecuador.pdf"
181,181,2016,Hawkins,Democratization,Responding to radical populism: Chavismo in Venezuela,article,Democratization/2016 - Hawkins - Responding to radical populism Chavismo in Venezuela.pdf
182,182,2016,"Kaltwasser, Taggart",Democratization,Dealing with populists in government: a framework for analysis,article,"Democratization/2016 - Kaltwasser, Taggart - Dealing with populists in government a framework for analysis.pdf"
183,183,2016,Stanley,Democratization,Confrontation by default and confrontation by design: strategic and institutional responses to Poland's populist coalition government,article,Democratization/2016 - Stanley - Confrontation by default and confrontation by design strategic and institutional responses to Poland s populist coalition government.pdf
184,184,2016,"Taggart, Kaltwasser",Democratization,Dealing with populists in government: some comparative conclusions,article,"Democratization/2016 - Taggart, Kaltwasser - Dealing with populists in government some comparative conclusions.pdf"
185,185,2017,de la Torre,Democratization,Hugo Chávez and the diffusion of Bolivarianism,article,Democratization/2017 - de la Torre - Hugo Chavez and the diffusion of Bolivarianism.pdf
186,186,2017,"Kuehn, Trinkunas",Democratization,Conditions of military contestation in populist Latin America,article,"Democratization/2017 - Kuehn, Trinkunas - Conditions of military contestation in populist Latin America.pdf"
187,187,2019,"Brunkert, Kruse, Welzel",Democratization,A tale of culture-bound regime evolution: the centennial democratic trend and its recent reversal,article,"Democratization/2019 - Brunkert, Kruse, Welzel - A tale of culture bound regime evolution the centennial democratic trend and its recent reversal.pdf"
188,188,2019,Csehi,Democratization,"Neither episodic, nor destined to failure? The endurance of Hungarian populism after 2010",article,Democratization/2019 - Csehi - Neither episodic nor destined to failure The endurance of Hungarian populism after 2010.pdf
189,189,2019,"McDonnell, Cabrera",Democratization,The right-wing populism of India’s Bharatiya Janata Party (and why comparativists should care),article,"Democratization/2019 - McDonnell, Cabrera - The right wing populism of India s Bharatiya Janata Party and why comparativists should care.pdf"
190,190,2019,Raisi,Democratization,The puzzle of populism in Iran’s electoral politics,article,Democratization/2019 - Raisi - The puzzle of populism in Iran´s electoral politics.pdf
191,191,2020,Engler,Democratization,“Fighting corruption” or “fighting the corrupt elite”? Politicizing corruption within and beyond the populist divide,article,Democratization/2020 - Engler - Fighting corruption or fighting the corrupt elite Politicizing corruption within and beyond the populist divide.pdf
192,192,2020,Paget,Democratization,"Again, making Tanzania great: Magufuli’s restorationist developmental nationalism",article,Democratization/2020 - Paget - Again making Tanzania great Magufuli´s restorationist developmental nationalism.pdf
193,193,2020,"Peters, Pierre",Democratization,A typology of populism: understanding the different forms of populism and their implications,article,"Democratization/2020 - Peters, Pierre - A typology of populism understanding the different forms of populism and their implications.pdf"
194,194,2020,"Rogenhofer, Panievsky",Democratization,Antidemocratic populism in power: comparing Erdoğan’s Turkey with Modi’s India and Netanyahu’s Israel,article,"Democratization/2020 - Rogenhofer, Panievsky - Antidemocratic populism in power.pdf"
195,195,2020,Snegovaya,Democratization,Voice or exit? Political corruption and voting intentions in Hungary,article,Democratization/2020 - Snegovaya - Voice or exit Political corruption and voting intentions in Hungary.pdf
196,196,2020,Pearson,Studies in Conflict & Terrorism,Gendered Reflections? Extremism in the UK’s Radical Right and al-Muhajiroun Networks,article,Studies in Conflict & Terrorism/2020 - Pearson - Gendered Reflections Extremism in the UK´s Radical Right and al Muhajiroun Networks.pdf
197,197,2011,Albertazzi et al.,Party Politics,Di lotta e di governo: The Lega Nord and Rifondazione Comunista in office,article,Party Politics/2011 - Albertazzi et al. - Di lotta e di governo_The Lega Nord and Rifondazione Comunista in office.pdf
198,198,2011,"DeCanio, Smidt",Party Politics,Prelude to populism: Mass electoral support for the Grange and Greenback parties,article,"Party Politics/2011 - DeCanio, Smidt -Prelude to populism_Mass electoral support for the Grange and Greenback parties.pdf"
199,199,2014,Mudde,Party Politics,Fighting the system? Populist radical right parties and party system change,article,Party Politics/2014 - Mudde - Fighting the system_Populist radical right parties and party system change.pdf
200,200,2014,Rooduijn et al.,Party Politics,A populist Zeitgeist? Programmatic contagion by populist parties in Western Europe,article,Party Politics/2014 - Rooduijn et al. - A populist Zeitgeist_Programmatic contagion by populist parties in Western Europe.pdf
201,201,2016,Immerzeel et al.,Party Politics,Competing with the radical right: Distances between the European radical right and other parties on typical radical right issues,article,Party Politics/2016 - Immerzeel et al. - Competing with the radical right_Distances between the European radical right and other parties on typical radical right issues.pdf
202,202,2016,"Schumacher, van Kersbergen",Party Politics,Do mainstream parties adapt to the welfare chauvinism of populist parties?,article,"Party Politics/2016 - Schumacher, van Kersbergen - Do mainstream parties adapt to the welfare chauvinism of populist parties.pdf"
203,203,2017,Allen,Party Politics,All in the party family? Comparing far right voters in Western and Post-Communist Europe,article,Party Politics/2017 - Allen - All in the party family. Comparing far right voters in Western and Post-Communist Europe.pdf
204,204,2017,Bos et al.,Party Politics,The impact of mediated party issue strategies on electoral support,article,Party Politics/2017 - Bos et al. - The impact of mediated party issue strategies on electoral support.pdf
205,205,2017,"Rooduijn, Akkerman",Party Politics,Flank attacks: Populism and left-right radicalism in Western Europe,article,"Party Politics/2017 - Rooduijn, Akkerman - Flank attacks_Populism and left-right radicalism in Western Europe.pdf"
206,206,2018,"Passarelli, Tuorto",Party Politics,The Five Star Movement: Purely a matter of protest? The rise of a new party between political discontent and reasoned voting,article,"Party Politics/2018 - Passarelli, Tuorto - The Five Star Movement_Purely a matter of protest.pdf"
207,207,2019,"Bosch, Durán",Party Politics,How does economic crisis impel emerging parties on the road to elections? The case of the Spanish Podemos and Ciudadanos,article,"Party Politics/2019 - Bosch, Durán - How does economic crisis impel emerging parties on the road to elections The case of the Spanish Podemos and Ciudadanos.pdf"
208,208,2019,"Meléndez, Rovira Kaltwasser",Party Politics,Political identities: The missing link in the study of populism,article,"Party Politics/2019 - Meléndez, Rovira Kaltwasser - Political identities The missing link in the study of populism.pdf"
209,209,2019,"Whitefield, Rohrschneider",Party Politics,Embedding integration: How European integration splits mainstream parties,article,"Party Politics/2019 - Whitefield, Rohrschneider - Embedding integration_How European integration splits mainstream parties.pdf"
210,210,2020,"Franchino, Negri",Party Politics,The fiscally moderate Italian populist voter: Evidence from a survey experiment,article,"Party Politics/2020 - Franchino, Negri - The fiscally moderate Italian populist voter.pdf"
211,211,2020,Thornhill,International Theory,Constitutionalism and populism: national political integration and global legal integration,article,International Theory/2020 - Thornhill - Constitutionalism and populism.pdf
212,212,2020,Wojczewski,International Studies Review,"Populism, Hindu Nationalism, and Foreign Policy in India: The Politics of Representing “the People”",article,"International Studies Review/2020 - Wojczewski - Populism, Hindu Nationalism, and Foreign Policy in India.pdf"
213,213,2016,Spruyt et al.,Political Research Quarterly,Who Supports Populism and What Attracts People to It?,article,Political Research Quarterly/2016 - Spruyt et al. - Who Supports Populism and What Attracts People to It.pdf
214,214,2018,Fumurescu,Political Research Quarterly,The People’s Two Bodies: An Alternative Perspective on Populism and Elitism,article,Political Research Quarterly/2018 - Fumurescu - The People’s Two Bodies_An Alternative Perspective on Populism and Elitism.pdf
215,215,2018,"Love, Windsor",Political Research Quarterly,"Populism and Popular Support: Vertical Accountability, Exogenous Events, and Leader Discourse in Venezuela",article,"Political Research Quarterly/2018 - Love, Windsor - Populism and Popular Support_Vertical Accountability, Exogenous Events, and Leader Discourse in Venezuela.pdf"
216,216,2018,Peel,Political Research Quarterly,The Populist Theory of the State in Early American Political Thought,article,Political Research Quarterly/2018 - Peel - The Populist Theory of the State in Early American Political Thought.pdf
217,217,2019,"Sagarzazu, Thies",Political Research Quarterly,"The Foreign Policy Rhetoric of Populism: Chávez, Oil, and Anti-imperialism",article,"Political Research Quarterly/2019 - Sagarzazu, Thies - The Foreign Policy Rhetoric of Populism_Chávez, Oil, and Anti-imperialism.pdf"
218,218,2020,Castanho Silva et al.,Political Research Quarterly,An Empirical Comparison of Seven Populist Attitudes Scales,article,Political Research Quarterly/2020 - Castanho Silva et al. - An Empirical Comparison of Seven Populist Attitudes Scales.pdf
219,219,2020,Kenny,Political Research Quarterly,“The Enemy of the People”: Populists and Press Freedom,article,Political Research Quarterly/2020 - Kenny - “The Enemy of the People”_Populists and Press Freedom.pdf
220,220,2011,Birks,British Politics,"The politics of protest in newspaper campaigns: Dissent, populism and the rhetoric of authenticity",article,British Politics/2011 - Birks - The politics of protest in newspaper campaigns.pdf
221,221,2014,Vines,British Politics,Reframing English Nationalism and Euroscepticism: From populism to the British Political Tradition,article,British Politics/2014 - Vines - Reframing English Nationalism and Euroscepticism.pdf
222,222,2015,Gifford,British Politics,"Nationalism, Populism And Anglo-British Euroscepticism",article,"British Politics/2015 - Gifford - Nationalism, Populism And Anglo-British Euroscepticism.pdf"
223,223,2015,Kenny,British Politics,The Origins And Drivers Of English Nationhood,article,British Politics/2015 - Kenny - The Origins And Drivers Of English Nationhood.pdf
224,224,2015,"Kettell, Kerr",British Politics,Editorial,editorial,"British Politics/2015 - Kettell, Kerr - Editorial.pdf"
225,225,2015,Wellings,British Politics,English Nationalism And Euroscepticism,article,British Politics/2015 - Wellings - English Nationalism And Euroscepticism.pdf
226,226,2016,Aughey et al.,British Politics,Symposium On Michael Kenny´s The Politics of english nationhood,article,British Politics/2016 - Aughey et al. - Symposium On Michael Kenny´s The Politics of english nationhood.pdf
227,227,2020,"Bolton, Pitts",British Politics,Liberalism and critical Marxism: a reply to Glasman and Rutherford,article,"British Politics/2020 - Bolton, Pitts - Liberalism And Critical Marxism.pdf"
228,228,2020,Radford et al.,British Politics,"‘Lordy Me!’ Can donations buy you a British peerage? A study in the link between party political funding and peerage nominations, 2005–2014",article,British Politics/2020 - Radford et al. - ´Lordy Me´ Can Donations Buy You A British peerage.pdf
229,229,2018,Bale,Politics,Who leads and who follows? The symbiotic relationship between UKIP and theConservatives – and populism and Euroscepticism,article,Politics/2018 - Bale - Who leads and who follows_The symbiotic relationship between UKIP and the Conservatives - and populism and Euroscepticism.pdf
230,230,2018,Conti,Politics,"National political elites, the EU, and the populist challenge",article,"Politics/2018 - Conti - National political elites, the EU, and the populist challenge.pdf"
231,231,2018,"Gómez-Reino Cachafeiro, Plaza-Colodro",Politics,Populist Euroscepticism in Iberian party systems,article,"Politics/2018 - Gómez-Reino Cachafeiro, Plaza-Colodro - Populist Euroscepticism in Iberian party systems.pdf"
232,232,2018,Ivaldi,Politics,Contesting the EU in times of crisis: The Front National and politics of Euroscepticism in France,article,Politics/2018 - Ivaldi - Contesting the EU in times of crisis.pdf
233,233,2018,Lees,Politics,The ‘Alternative for Germany’: The rise of right-wing populism at the heart of Europe,article,Politics/2018 - Lees - The ‘Alternative for Germany’_The rise of right-wing populism at the heart of Europe.pdf
234,234,2018,Pirro et al.,Politics,The populist politics of Euroscepticism in times of crisis: Comparative conclusions,article,Politics/2018 - Pirro et al. - The populist politics of Euroscepticism in times of crisis_Comparative conclusions.pdf
235,235,2018,"Pirro, Taggart",Politics,The populist politics of Euroscepticism in times of crisis: A framework for analysis,article,"Politics/2018 - Pirro, Taggart - The populist politics of Euroscepticism in times of crisis.pdf"
236,236,2018,"Pirro, van Kessel",Politics,Populist Eurosceptic trajectories in Italy and the Netherlands during the European crises,article,"Politics/2018 - Pirro, van Kessel - Populist Eurosceptic trajectories in Italy and the Netherlands during the European crises.pdf"
237,237,2020,Blunt,Politics,The case for epistocratic republicanism,article,Politics/2020 - Blunt - The case for epistocratic republicanism.pdf
238,238,2020,Chryssogelos,Politics,State transformation and populism: From the internationalized to the neo-sovereign state?,article,Politics/2020 - Chryssogelos - State transformations and populism.pdf
239,239,2020,Van Hauwaert et al.,Politics,The measurement of populist attitudes: Testing cross-national scales using item response theory,article,Politics/2020 - Van Hauwaert et al. - The measurement of populist attitudes.pdf
240,240,2016,Steger,PS: Political Science and Politics,Conditional Arbiters: The Limits of Political Party Infl uence in Presidential Nominations,article,PS political science and politics journal/2016 - Steger - Conditional Arbiters_The Limits of Political Party Influence in Presidential Nominations.pdf
241,241,2016,"Ardoin, Gronke",PS: Political Science and Politics,EDITORS’ CORNER,article,"PS political science and politics journal/2016 - Ardoin, Gronke - editors-corner.pdf"
242,242,2019,Lacatus,PS: Political Science and Politics,Populism and the 2016 American Election: Evidence from Official Press Releases and Twitter,article,PS political science and politics journal/2019 - Lacatus - Populismu and the 2016 American Election.pdf
243,243,2017,March,The British Journal of Politics and International Relations,Left and right populism compared: The British case,article,The British Journal of Politics and International Relations/2017 - March - Left and right populism compared_the British case.pdf
244,244,2017,Wilson,The British Journal of Politics and International Relations,"Brexit, Trump and the special relationship",article,"The British Journal of Politics and International Relations/2017 - Wilson - Brexit, Trump and the special relationship.pdf"
245,245,2019,"Giglioli, Baldini",The British Journal of Politics and International Relations,"Kings, jesters, or kingmakers? European populist parties as a microcosm for celebrity politics",article,"The British Journal of Politics and International Relations/2019 - Giglioli, Baldini - Kings, jesters, or kingmakers_European populist parties as a microcosm for celebrity politics.pdf"
246,246,2019,"Watts, Bale",The British Journal of Politics and International Relations,Populism as an intra-party phenomenon: The British Labour Party under Jeremy Corbyn,article,"The British Journal of Politics and International Relations/2019 - Watts, Bale - Populism as an intra-party phenomenon_The British Labour Party under Jeremy Corbyn.pdf"
247,247,2020,"Coticchia, Vignoli",The British Journal of Politics and International Relations,Populist parties and foreign policy: The case of Italy’s Five Star Movement,article,"The British Journal of Politics and International Relations/2020 - Coticchia, Vignoli - Populist parties and foreign policy_The case of Italy´s Five Star Movement.pdf"
248,248,2020,Kriesi,The British Journal of Politics and International Relations,Backlash politics against European integration,article,The British Journal of Politics and International Relations/2020 - Kriesi - Backlash politics against European integration.pdf
249,249,2020,Landwehr,The British Journal of Politics and International Relations,Backlash against the procedural consensus,article,The British Journal of Politics and International Relations/2020 - Landwehr - Backlash against the procedural consensus.pdf
250,250,2020,van Kessel,The British Journal of Politics and International Relations,Eager to leave? Populist radical right parties’ responses to the UK’s Brexit vote,article,The British Journal of Politics and International Relations/2020 - van Kessel - Eager to leave_Populist radical right parties´ responses to the UK´s Brexit vote.pdf
251,251,2011,Bale et al.,Acta Politica,Thrown around with abandon? Popular understandings of populism as conveyed by the print media: A UK case study,article,Acta Politica/2011 - Bale et al. - Thrown around with abandon_Popular understandings of populism as conveyed by the print media_A UK case study.pdf
252,252,2011,"Caiani, della Porta",Acta Politica,The elitist populism of the extreme right: A frame analysis of extreme right-wing discourses in Italy and Germany,article,"Acta Politica/2011 - Caiani, della Porta - The elitist populism of the extreme right.pdf"
253,253,2011,"Ruzza, Fella",Acta Politica,Populism and the Italian right,article,"Acta Politica/2011 - Ruzza, Fella - Populism and the Italian right.pdf"
254,254,2011,Rydgren,Acta Politica,A legacy of ‘uncivicness’? Social capital and radical right-wing populist voting in Eastern Europe,article,Acta Politica/2011 - Rydgren - A legacy of ‘uncivicness’_Social capital and radical right-wing populist voting in Eastern Europe.pdf
255,255,2012,Hakhverdian et al.,Acta Politica,"The emergence of a ‘diploma democracy’? The political education gap in the Netherlands, 1971–2010",article,Acta Politica/2012 - Hakhverdian et al. - The emergence of a ´diploma democracy´.pdf
256,256,2013,Bos et al.,Acta Politica,An experimental test of the impact of style and rhetoric on the perception of right-wing populist and mainstream party leaders,article,Acta Politica/2013 - Bos et al. - An experimental test of the impact of style and rhetoric on the prception of right-wing populist and mainstream party leaders.pdf
257,257,2014,Spruyt,Acta Politica,An asymmetric group relation? An investigation into public perceptions of education-based groups and the support for populism,article,Acta Politica/2014 - Spruyt - An asymmetric group relation_An investigation into public perceptions of education-based groups and the support for populism.pdf
258,258,2019,"Rico, Anduiza",Acta Politica,Economic correlates of populist attitudes: an analysis of nine european countries in the aftermath of the great recession,article,"Acta Politica/2019 - Rico, Anduiza - Economic correlates of populist attitudes.pdf"
259,259,2019,"Spierings, Jacobs",Acta Politica,Political parties and social media campaigning A qualitative comparative analysis of parties’ professional Facebook and Twitter use in the 2010 and 2012 Dutch elections,article,"Acta Politica/2019 - Spierings, Jacobs - Political parties and social media campaigning.pdf"
260,260,2020,Hameleers,Acta Politica,Augmenting polarization via social media? A comparative analysis of Trump’s and Wilders’ online populist communication and the electorate’s interpretations surrounding the elections,article,Acta Politica/2020 - Hameleers - Augmenting polarization via social media.pdf
261,261,2014,"Moffitt, Tormey",Political Studies,"Rethinking Populism: Politics, Mediatisation and Political Style",article,"Political Studies/2014 - Moffitt, Tormey - Rethinking Populism_Politics, Mediatisation and Political Style.pdf"
262,262,2014,Rooduijn,Political Studies,The Mesmerising Message: The Diffusion of Populism in Public Debates in Western European Media,article,Political Studies/2014 - Rooduijn - The Mesmerising Message_The Diffusion of Populism in Public Debates in Western European Media.pdf
263,263,2014,Rovira Kaltwasser,Political Studies,The Responses of Populism to Dahl’s Democratic Dilemmas,article,Political Studies/2014 - Rovira Kaltwasser - The Responses of Populism to Dahl's Democratic Dilemmas.pdf
264,264,2014,"Webb, Bale",Political Studies,Why Do Tories Defect to UKIP? Conservative Party Members and the Temptations of the Populist Radical Right,article,"Political Studies/2014 - Webb, Bale - Why Do Tories Defect to UKIP_Conservative Party Members and the Temptations of the Populist Radical Right.pdf"
265,265,2015,Gerodimos,Political Studies,"The Ideology of Far Left Populism in Greece: Blame,Victimhood and Revenge in the Discourse of Greek Anarchists",article,"Political Studies/2015 - Gerodimos - The Ideology of Far Left Populism in Greece_Blame, Victimhood and Revenge in the Discourse of Greek Anarchists.pdf"
266,266,2015,"Otjes, Louwerse",Political Studies,Populists in Parliament: Comparing Left-Wing and Right-Wing Populism in the Netherlands,article,"Political Studies/2015 - Otjes, Louwerse - Populists in Parliament_Comparing Left-Wing and Right-Wing Populism in the Netherlands.pdf"
267,267,2016,Aslanidis,Political Studies,Is Populism an Ideology? A Refutation and a New Perspective,article,Political Studies/2016 - Aslanidis - Is Populism an Ideology_A Refutation and a New Perspective.pdf
268,268,2016,"Huber, Schimpf",Political Studies,Friend or Foe? Testing the Influence of Populism on Democratic Quality in Latin America,article,"Political Studies/2016 - Huber, Schimpf - Friend or Foe_Testing the Influence of Populism on Democratic Quality in Latin America.pdf"
269,269,2016,McDonnell,Political Studies,Populist Leaders and  Coterie Charisma,article,Political Studies/2016 - McDonnell - Populist Leaders and Coterie Charisma.pdf
