,year,authors,journal,title,type,pdf?,keywords,keywords_online?,notes,filepath
127,2020,Marien et al.,West European Politics,Deliberative qualities in televised election debates: the influence of the electoral system and populism,article,y,y,,,"['West European Politics/2020 - Marien, Goovaerts, Elstub - Deliberative qualities in televised election debates the influence of the electoral system and populism.pdf']"
128,2020,Gonzalez-Vicente,"Territory, Politics, Governance",The liberal peace fallacy violent neoliberalism and the temporal and spatial traps of state-based approaches to peace,article,y,y,,,"['Territory, Politics, Governance/2020 - Gonzalez-Vicente - The liberal peace fallacy violent neoliberalism and the temporal and spatial traps of state-based approaches to peace.pdf']"
129,2017,Hobson,Perspectives on Politics,Democratic Peace: Progress and Crisis,article,y,y,,,['Perspectives on Politics/2017 - Hobson - Democratic Peace Progress and Crisis.pdf']
130,2018,Lake,Perspectives on Politics,International Legitimacy Lost? Rule and Resistance When America Is Firs,article,y,y,,,['Perspectives on Politics/2018 - Lake - International Legitimacy Lost_ Rule and Resistance When America Is First.pdf']
131,2019,"Bagg, Tranvik",Perspectives on Politics,An Adversarial Ethics for Campaigns and Elections,article,y,y,,,"['Perspectives on Politics/2019 - Bagg, Tranvik - An Adversarial Ethics for Campaigns and Elections.pdf']"
132,2019,Lebow,Perspectives on Politics,Trumpism and the Dialectic of Neoliberal Reason,article,y,y,,,['Perspectives on Politics/2019 - Lebow - Trumpism and the Dialectic of Neoliberal Reason.pdf']
133,2019,Lee,Perspectives on Politics,Populism and the American Party System: Opportunities and Constraints,article,y,y,,,['Perspectives on Politics/2019 - Lee - Populism and the American Party System_Opportunities and Constraints.pdf']
134,2020,Art,Perspectives on Politics,The Myth of Global Populism,article,y,y,,,['Perspectives on Politics/2020 - Art - The Myth of Global Populism.pdf']
135,2020,"McDonnell, Ondelli",Perspectives on Politics,The Language of Right-Wing Populist Leaders: Not So Simple,article,y,y,,,"['Perspectives on Politics/2020 - McDonnell, Ondelli - The Language of Right-Wing Populist Leaders_Not So Simple.pdf']"
136,2020,Voeten,Perspectives on Politics,Populism and Backlashes against International Courts,article,y,y,,,['Perspectives on Politics/2020 - Voeten - Populism and Backlashes against International Courts.pdf']
137,2020,Weyland,Perspectives on Politics,Populism’s Threat to Democracy: Comparative Lessons for the United States,article,y,y,,,['Perspectives on Politics/2020 - Weyland - Populism´s Threat to Democracy Comparative Lessons for the United States.pdf']
138,2013,"Bordignon, Ceccarini",South European Society and Politics,Five Stars and a Cricket. Beppe Grillo Shakes Italian Politics,article,y,y,,,"['South European Society and Politics/2013 - Bordignon, Ceccarini - Five Stars and a Cricket Beppe Grillo Shakes Italian Politics.pdf']"
139,2014,Bordignon,South European Society and Politics,Matteo Renzi: A ‘Leftist Berlusconi’ for the Italian Democratic Party?,article,y,y,,,['South European Society and Politics/2014 - Bordignon - Matteo Renzi A Leftist Berlusconi for the Italian Democratic Party.pdf']
140,2015,"Alonso, Rovira Kaltwasser",South European Society and Politics,Spain: No Country for the Populist Radical Right?,article,y,y,,,"['South European Society and Politics/2015 - Alonso, Rovira Kaltwasser - Spain No Country for the Populist Radical Right.pdf']"
141,2015,Özen,South European Society and Politics,An Unfinished Grassroots Populism: The Gezi Park Protests in Turkey and Their Aftermath,article,y,y,,,['South European Society and Politics/2015 - Özen - An Unfinished Grassroots Populism The Gezi Park Protests in Turkey and Their Aftermath.pdf']
142,2016,"Bobba, McDonnell",South European Society and Politics,Different Types of Right-Wing Populist Discourse in Government and Opposition: The Case of Italy,article,y,y,,,"['South European Society and Politics/2016 - Bobba, McDonnell - Different Types of Right Wing Populist Discourse in Government and Opposition The Case of Italy.pdf']"
143,2016,Rodríguez-Teruel et al.,South European Society and Politics,Fast and Furious: Podemos’ Quest for Power in Multi-level Spain,article,y,y,,,['South European Society and Politics/2016 - Rodríguez-Teruel et al. - Fast and Furious Podemos Quest for Power in Multi level Spain.pdf']
144,2018,"Charalambous, Christoforou",South European Society and Politics,Far-Right Extremism and Populist Rhetoric: Greece and Cyprus during an Era of Crisis,article,y,y,,,"['South European Society and Politics/2018 - Charalambous, Christoforou - Far Right Extremism and Populist Rhetoric Greece and Cyprus during an Era of Crisis.pdf']"
145,2018,"Lisi, Borghetto",South European Society and Politics,"Populism, Blame Shifting and the Crisis: Discourse Strategies in Portuguese Political Parties",article,y,y,,,"['South European Society and Politics/2018 - Lisi, Borghetto - Populism Blame Shifting and the Crisis Discourse Strategies in Portuguese Political Parties.pdf']"
146,2018,Tronconi,South European Society and Politics,The Italian Five Star Movement during the Crisis: Towards Normalisation?,article,y,y,,,['South European Society and Politics/2018 - Tronconi - The Italian Five Star Movement during the Crisis Towards Normalisation.pdf']
147,2019,Sözen,South European Society and Politics,Competition in a Populist Authoritarian Regime: The June 2018 Dual Elections in Turkey,article,y,y,,,['South European Society and Politics/2019 - Sözen - Competition in a Populist Authoritarian Regime The June 2018 Dual Elections in Turkey.pdf']
148,2020,Conti et al.,South European Society and Politics,Policy Polarisation in Italy: The Short and Conflictual Life of the ‘Government of Change’ (2018–2019),article,y,y,,,['South European Society and Politics/2020 - Conti et al. - Policy Polarisation in Italy The Short and Conflictual Life of the Government of Change 2018-2019.pdf']
149,2020,"Santana-Pereira, Cancela",South European Society and Politics,Demand without Supply? Populist Attitudes and Voting Behaviour in Post-Bailout Portugal,article,y,y,,,"['South European Society and Politics/2020 - Santana-Pereira, Cancela - Demand without Supply Populist Attitudes and Voting Behaviour in Post Bailout Portugal.pdf']"
150,2018,Stoker,Policy and Politics,Can the governance paradigm survive the rise of populism?,article,y,y,,,['Policy and Politics/2018 - Stoker - Can The Governance Paradigm Survive The Rise of Populism.pdf']
151,2019,"Batory, Svensson",Policy and Politics,The use and abuse of participatory governance by populist governments,article,y,y,,,"['Policy and Politics/2019 - Batory, Svensson - The use and abuse of participatory governance by populist governments.pdf']"
152,2018,Walker et al.,International Political Sociology,Collective Discussion: Diagnosing the Present,article,y,y,,,['International Political Sociology/2018 - Walker et al. - Collective Discussion_Diagnosing the Present.pdf']
153,2019,Lizotte,Political Geography,Where are the people? Refocusing political geography on populism,article,y,y,,,['Political Geography/2019 - Lizotte - Where are the people_Refocusing political geography on populism.pdf']
154,2020,Bosworth,Political Geography,The People’s Climate March: Environmental populism as political genre,article,y,y,,,['Political Geography/2020 - Bosworth - The People´s Climate March_Enivronmental populism as political genre.pdf']
155,2020,Fall,Political Geography,"Territory, sovereignty and entitlement: Diplomatic discourses in the United Nations Security Council",article,y,y,,,"['Political Geography/2020 - Fall - Territory, sovereignty and entitlement_Diplomatic discourse in the United Nations Security Council.pdf']"
156,2019,"Aharoni, Féron",Cooperation and Conflict,National populism and gendered vigilantism: The case of the Soldiers of Odin in Finland,article,y,y,,,"['Cooperation and Conflict/2019 - Aharoni, Féron - National populism and gendered vigilantism_The case of the Soldiers of Odin in Finland.pdf']"
157,2019,"Boucher, Thies",The Journal of Politics,“I Am a Tariff Man”: The Power of Populist Foreign Policy Rhetoric under President Trump,article,y,y,,,"['The Journal of Politics/2019 - Boucher, Thies - I Am a Tariff Man_The Power of Populist Foreign Policy Rhetoric under President Trump.pdf']"
158,2019,"Busby, Gubler, Hawkins",The Journal of Politics,Framing and Blame Attribution in Populist Rhetoric,article,y,y,,,"['The Journal of Politics/2019 - Busby, Gubler - Framing and Blame Attribution in Populist Rhetoric..pdf']"
159,2019,Drezner,The Journal of Politics,Present at the Destruction: The Trump Administration and the Foreign Policy Bureaucracy,article,y,y,,,['The Journal of Politics/2019 - Drezner - Present at the Destruction_The Trump Administration and the Foreign Policy.pdf']
160,2017,"Steenbergen, S",European Union Politics,"Better the devil you know? Risk-taking, globalization and populism in Great Britain",article,y,y,,,"['European Union Politics/2017 - Steenbergen, Siczek - Better the devil you know_Risk-taking, globalization and populism in Great Britain.pdf']"
161,2012,Dinçşahin,Government and Opposition,"A Symptomatic Analysis of the Justice and Development Party’s Populism in Turkey, 2007–2010",article,y,y,y,,"['Government and Opposition/2012 - Dinçşahin - A Symptomatic Analysis of the Justice and Development Party’s Populism in Turkey, 2007–2010.pdf']"
162,2018,"Houle, Kenny",Government and Opposition,The Political and Economic Consequences of Populist Rule in Latin America,article,y,y,,,"['Government and Opposition/2018 - Houle, Kenny - The Political and Economic Consequences of Populist Rule in Latin America.pdf']"
163,2020,"Hawkins, Rovira Kaltwasser, Andreadis",Government and Opposition,The Activation of Populist Attitudes,article,y,y,,,"['Government and Opposition/2020 - Hawkins, Rovira Kaltwasser, Andreadis - The Activation of Populist Attitudes.pdf']"
164,2018,Moore,Political Studies Review,"Conspiracies, Conspiracy Theories and Democracy",article,y,y,,,"['Political Studies Review/2018 - Moore - Conspiracies, Conspiracy Theories and Democracy.pdf']"
165,2019,Sozen,Political Studies Review,Populist Peril to Democracy: The Sacralization and Singularization of Competitive Elections,article,y,y,,,['Political Studies Review/2019 - Sozen - Populist Peril to Democracy_The Sacralization and Singularization of Competitive Elections.pdf']
166,2019,Street,Political Studies Review,What is Donald Trump? Forms of ‘Celebrity’ in Celebrity Politics,article,y,y,,,['Political Studies Review/2019 - Street - What is Donal Trump.pdf']
167,2020,Béland,Political Studies Review,Right-Wing Populism and the Politics of Insecurity: How President Trump Frames Migrants as Collective Threats,article,y,y,,,['Political Studies Review/2020 - Béland - Right-Wing Populism and the Politics of Insecurity.pdf']
168,2018,Iakhnis et al.,Research & Politics,Populist referendum: Was ‘Brexit’ an expression of nativist and anti-elitist sentiment?,article,y,y,,,['Research & Politics/2018 - Iakhnis et al. - Populist referendum_Was Brexit an expression of nativist ananti-elitist sentiment.pdf']
169,2019,"Kurer, Palier",Research & Politics,Shrinking and shouting: the political revolt of the declining middle in times of employment polarization,article,y,y,,,"['Research & Politics/2019 - Kurer, Palier - Shrinking and shouting_the political revolt of the declining middle in times of employment polarization.pdf']"
170,2020,Wuttke et al.,Research & Politics,Leader of the free world or pioneer in democracy’s decline? Examining the democratic deconsolidation hypothesis on the mass level in East and West Germany,article,y,y,,,['Research & Politics/2020 - Wuttke et al. - Leader of the free world or pioneer in democracy’s decline. Examining the democratic deconsolidation hypothesis on the mass level in East and West Germany.pdf']
171,2019,"Çapan, Zarakol",Cambridge Review of International Affairs,Turkey’s ambivalent self: ontological insecurity in ‘Kemalism’ versus ‘Erdoğanism’,article,y,y,,,"['Cambridge Review of International Affairs/2019 - Çapan, Zarakol - Turkey s ambivalent self ontological insecurity in Kemalism versus Erdoganism.pdf']"
172,2019,Steele,Cambridge Review of International Affairs,"Welcome home! Routines, ontological insecurity and the politics of US military reunion videos",article,y,y,,,['Cambridge Review of International Affairs/2019 - Steele - Welcome home Routines ontological insecurity and the politics of US military reunion videos.pdf']
173,2019,Subotic,Cambridge Review of International Affairs,Political memory after state death: the abandoned Yugoslav national pavilion at Auschwitz,article,y,y,,,['Cambridge Review of International Affairs/2019 - Subotic - Political memory after state death the abandoned Yugoslav national pavilion at Auschwitz.pdf']
174,2017,Caruso,Politics & Society,Digital Capitalism and the End of Politics: The Case of the Italian Five Star Movement,article,y,y,,,['Politics & Society/2017 - Caruso - Digital Capitalism and the End of Politics.pdf']
175,2012,Conversi,Democratization,Majoritarian democracy and globalization versus ethnic diversity?,article,y,y,,,['Democratization/2012 - Conversi - Majoritarian democracy and globalization versus ethnic diversity.pdf']
176,2012,Kaltwasser,Democratization,The ambivalence of populism: threat and corrective for democracy,article,y,y,,,['Democratization/2012 - Kaltwasser - The ambivalence of populism threat and corrective for democracy.pdf']
177,2013,"Levitsky, Loxton",Democratization,Populism and competitive authoritarianism in the Andes,article,y,y,,,"['Democratization/2013 - Levitsky, Loxton - Populism and competitive authoritarianism in the Andes.pdf']"
178,2015,"Cheeseman, Larmer",Democratization,Ethnopopulism in Africa: opposition mobilization in diverse and unequal societies,article,y,y,,,"['Democratization/2015 - Cheeseman, Larmer - Ethnopopulism in Africa opposition mobilization in diverse and unequal societies.pdf']"
179,2016,"Aslanidis, Kaltwasser",Democratization,Dealing with populists in government: the SYRIZA-ANEL coalition in Greece,article,y,y,,,"['Democratization/2016 - Aslanidis, Kaltwasser - Dealing with populists in government the SYRIZA ANEL coalition in Greece.pdf']"
180,2016,Batory,Democratization,Populists in government? Hungary's “system of national cooperation”,article,y,y,,,['Democratization/2016 - Batory - Populists in government Hungary´s system of national cooperation.pdf']
181,2016,"de la Torre, Ortiz Lemos",Democratization,Populist polarization and the slow death of democracy in Ecuador,article,y,y,,,"['Democratization/2016 - de la Torre, Ortiz Lemos - Populist polarization and the slow death of democracy in Ecuador.pdf']"
182,2016,Hawkins,Democratization,Responding to radical populism: Chavismo in Venezuela,article,y,y,,,['Democratization/2016 - Hawkins - Responding to radical populism Chavismo in Venezuela.pdf']
183,2016,"Kaltwasser, Taggart",Democratization,Dealing with populists in government: a framework for analysis,article,y,y,,,"['Democratization/2016 - Kaltwasser, Taggart - Dealing with populists in government a framework for analysis.pdf']"
184,2016,Stanley,Democratization,Confrontation by default and confrontation by design: strategic and institutional responses to Poland's populist coalition government,article,y,y,,,['Democratization/2016 - Stanley - Confrontation by default and confrontation by design strategic and institutional responses to Poland s populist coalition government.pdf']
185,2016,"Taggart, Kaltwasser",Democratization,Dealing with populists in government: some comparative conclusions,article,y,y,,,"['Democratization/2016 - Taggart, Kaltwasser - Dealing with populists in government some comparative conclusions.pdf']"
186,2017,de la Torre,Democratization,Hugo Chávez and the diffusion of Bolivarianism,article,y,y,,,['Democratization/2017 - de la Torre - Hugo Chavez and the diffusion of Bolivarianism.pdf']
187,2017,"Kuehn, Trinkunas",Democratization,Conditions of military contestation in populist Latin America,article,y,y,,,"['Democratization/2017 - Kuehn, Trinkunas - Conditions of military contestation in populist Latin America.pdf']"
188,2019,"Brunkert, Kruse, Welzel",Democratization,A tale of culture-bound regime evolution: the centennial democratic trend and its recent reversal,article,y,y,,,"['Democratization/2019 - Brunkert, Kruse, Welzel - A tale of culture bound regime evolution the centennial democratic trend and its recent reversal.pdf']"
189,2019,Csehi,Democratization,"Neither episodic, nor destined to failure? The endurance of Hungarian populism after 2010",article,y,y,,,['Democratization/2019 - Csehi - Neither episodic nor destined to failure The endurance of Hungarian populism after 2010.pdf']
190,2019,"McDonnell, Cabrera",Democratization,The right-wing populism of India’s Bharatiya Janata Party (and why comparativists should care),article,y,y,,,"['Democratization/2019 - McDonnell, Cabrera - The right wing populism of India s Bharatiya Janata Party and why comparativists should care.pdf']"
191,2019,Raisi,Democratization,The puzzle of populism in Iran’s electoral politics,article,y,y,,,['Democratization/2019 - Raisi - The puzzle of populism in Iran´s electoral politics.pdf']
192,2020,Engler,Democratization,“Fighting corruption” or “fighting the corrupt elite”? Politicizing corruption within and beyond the populist divide,article,y,y,,,['Democratization/2020 - Engler - Fighting corruption or fighting the corrupt elite Politicizing corruption within and beyond the populist divide.pdf']
193,2020,Paget,Democratization,"Again, making Tanzania great: Magufuli’s restorationist developmental nationalism",article,y,y,,,['Democratization/2020 - Paget - Again making Tanzania great Magufuli´s restorationist developmental nationalism.pdf']
194,2020,"Peters, Pierre",Democratization,A typology of populism: understanding the different forms of populism and their implications,article,y,y,,,"['Democratization/2020 - Peters, Pierre - A typology of populism understanding the different forms of populism and their implications.pdf']"
195,2020,"Rogenhofer, Panievsky",Democratization,Antidemocratic populism in power: comparing Erdoğan’s Turkey with Modi’s India and Netanyahu’s Israel,article,y,y,,,"['Democratization/2020 - Rogenhofer, Panievsky - Antidemocratic populism in power.pdf']"
196,2020,Snegovaya,Democratization,Voice or exit? Political corruption and voting intentions in Hungary,article,y,y,,,['Democratization/2020 - Snegovaya - Voice or exit Political corruption and voting intentions in Hungary.pdf']
197,2020,Pearson,Studies in Conflict & Terrorism,Gendered Reflections? Extremism in the UK’s Radical Right and al-Muhajiroun Networks,article,y,y,,,['Studies in Conflict & Terrorism/2020 - Pearson - Gendered Reflections Extremism in the UK´s Radical Right and al Muhajiroun Networks.pdf']
198,2011,Albertazzi et al.,Party Politics,Di lotta e di governo: The Lega Nord and Rifondazione Comunista in office,article,y,y,,,['Party Politics/2011 - Albertazzi et al. - Di lotta e di governo_The Lega Nord and Rifondazione Comunista in office.pdf']
199,2011,"DeCanio, Smidt",Party Politics,Prelude to populism: Mass electoral support for the Grange and Greenback parties,article,y,y,,,"['Party Politics/2011 - DeCanio, Smidt -Prelude to populism_Mass electoral support for the Grange and Greenback parties.pdf']"
200,2014,Mudde,Party Politics,Fighting the system? Populist radical right parties and party system change,article,y,y,,,['Party Politics/2014 - Mudde - Fighting the system_Populist radical right parties and party system change.pdf']
201,2014,Rooduijn et al.,Party Politics,A populist Zeitgeist? Programmatic contagion by populist parties in Western Europe,article,y,y,,,['Party Politics/2014 - Rooduijn et al. - A populist Zeitgeist_Programmatic contagion by populist parties in Western Europe.pdf']
202,2016,Immerzeel et al.,Party Politics,Competing with the radical right: Distances between the European radical right and other parties on typical radical right issues,article,y,y,,,['Party Politics/2016 - Immerzeel et al. - Competing with the radical right_Distances between the European radical right and other parties on typical radical right issues.pdf']
203,2016,"Schumacher, van Kersbergen",Party Politics,Do mainstream parties adapt to the welfare chauvinism of populist parties?,article,y,y,,,"['Party Politics/2016 - Schumacher, van Kersbergen - Do mainstream parties adapt to the welfare chauvinism of populist parties.pdf']"
204,2017,Allen,Party Politics,All in the party family? Comparing far right voters in Western and Post-Communist Europe,article,y,y,,,['Party Politics/2017 - Allen - All in the party family. Comparing far right voters in Western and Post-Communist Europe.pdf']
205,2017,Bos et al.,Party Politics,The impact of mediated party issue strategies on electoral support,article,y,y,,,['Party Politics/2017 - Bos et al. - The impact of mediated party issue strategies on electoral support.pdf']
206,2017,"Rooduijn, Akkerman",Party Politics,Flank attacks: Populism and left-right radicalism in Western Europe,article,y,y,,,"['Party Politics/2017 - Rooduijn, Akkerman - Flank attacks_Populism and left-right radicalism in Western Europe.pdf']"
207,2018,"Passarelli, Tuorto",Party Politics,The Five Star Movement: Purely a matter of protest? The rise of a new party between political discontent and reasoned voting,article,y,y,,,"['Party Politics/2018 - Passarelli, Tuorto - The Five Star Movement_Purely a matter of protest.pdf']"
208,2019,"Bosch, Durán",Party Politics,How does economic crisis impel emerging parties on the road to elections? The case of the Spanish Podemos and Ciudadanos,article,y,y,,,"['Party Politics/2019 - Bosch, Durán - How does economic crisis impel emerging parties on the road to elections The case of the Spanish Podemos and Ciudadanos.pdf']"
209,2019,"Meléndez, Rovira Kaltwasser",Party Politics,Political identities: The missing link in the study of populism,article,y,y,,,"['Party Politics/2019 - Meléndez, Rovira Kaltwasser - Political identities The missing link in the study of populism.pdf']"
210,2019,"Whitefield, Rohrschneider",Party Politics,Embedding integration: How European integration splits mainstream parties,article,y,y,,,"['Party Politics/2019 - Whitefield, Rohrschneider - Embedding integration_How European integration splits mainstream parties.pdf']"
211,2020,"Franchino, Negri",Party Politics,The fiscally moderate Italian populist voter: Evidence from a survey experiment,article,y,y,,,"['Party Politics/2020 - Franchino, Negri - The fiscally moderate Italian populist voter.pdf']"
212,2020,Thornhill,International Theory,Constitutionalism and populism: national political integration and global legal integration,article,y,y,,,['International Theory/2020 - Thornhill - Constitutionalism and populism.pdf']
213,2020,Wojczewski,International Studies Review,"Populism, Hindu Nationalism, and Foreign Policy in India: The Politics of Representing “the People”",article,y,y,,,"['International Studies Review/2020 - Wojczewski - Populism, Hindu Nationalism, and Foreign Policy in India.pdf']"
214,2016,Spruyt et al.,Political Research Quarterly,Who Supports Populism and What Attracts People to It?,article,y,y,,,['Political Research Quarterly/2016 - Spruyt et al. - Who Supports Populism and What Attracts People to It.pdf']
215,2018,Fumurescu,Political Research Quarterly,The People’s Two Bodies: An Alternative Perspective on Populism and Elitism,article,y,y,,,['Political Research Quarterly/2018 - Fumurescu - The People’s Two Bodies_An Alternative Perspective on Populism and Elitism.pdf']
216,2018,"Love, Windsor",Political Research Quarterly,"Populism and Popular Support: Vertical Accountability, Exogenous Events, and Leader Discourse in Venezuela",article,y,y,,,"['Political Research Quarterly/2018 - Love, Windsor - Populism and Popular Support_Vertical Accountability, Exogenous Events, and Leader Discourse in Venezuela.pdf']"
217,2018,Peel,Political Research Quarterly,The Populist Theory of the State in Early American Political Thought,article,y,y,,,['Political Research Quarterly/2018 - Peel - The Populist Theory of the State in Early American Political Thought.pdf']
218,2019,"Sagarzazu, Thies",Political Research Quarterly,"The Foreign Policy Rhetoric of Populism: Chávez, Oil, and Anti-imperialism",article,y,y,,,"['Political Research Quarterly/2019 - Sagarzazu, Thies - The Foreign Policy Rhetoric of Populism_Chávez, Oil, and Anti-imperialism.pdf']"
219,2020,Castanho Silva et al.,Political Research Quarterly,An Empirical Comparison of Seven Populist Attitudes Scales,article,y,y,,,['Political Research Quarterly/2020 - Castanho Silva et al. - An Empirical Comparison of Seven Populist Attitudes Scales.pdf']
220,2020,Kenny,Political Research Quarterly,“The Enemy of the People”: Populists and Press Freedom,article,y,y,,,['Political Research Quarterly/2020 - Kenny - “The Enemy of the People”_Populists and Press Freedom.pdf']
221,2011,Birks,British Politics,"The politics of protest in newspaper campaigns: Dissent, populism and the rhetoric of authenticity",article,y,y,,,['British Politics/2011 - Birks - The politics of protest in newspaper campaigns.pdf']
222,2014,Vines,British Politics,Reframing English Nationalism and Euroscepticism: From populism to the British Political Tradition,article,y,y,,,['British Politics/2014 - Vines - Reframing English Nationalism and Euroscepticism.pdf']
223,2015,Gifford,British Politics,"Nationalism, Populism And Anglo-British Euroscepticism",article,y,y,y,,"['British Politics/2015 - Gifford - Nationalism, Populism And Anglo-British Euroscepticism.pdf']"
224,2015,Kenny,British Politics,The Origins And Drivers Of English Nationhood,article,,y,y,,['British Politics/2015 - Kenny - The Origins And Drivers Of English Nationhood.pdf']
225,2015,"Kettell, Kerr",British Politics,Editorial,editorial,y,y,y,nevim je to jen editorial kde je jednou slovo populism,"['British Politics/2015 - Kettell, Kerr - Editorial.pdf']"
226,2015,Wellings,British Politics,English Nationalism And Euroscepticism,article,y,y,y,,['British Politics/2015 - Wellings - English Nationalism And Euroscepticism.pdf']
227,2016,Aughey et al.,British Politics,Symposium On Michael Kenny´s The Politics of english nationhood,article,,y,y,,['British Politics/2016 - Aughey et al. - Symposium On Michael Kenny´s The Politics of english nationhood.pdf']
228,2020,"Bolton, Pitts",British Politics,Liberalism and critical Marxism: a reply to Glasman and Rutherford,article,y,y,,,"['British Politics/2020 - Bolton, Pitts - Liberalism And Critical Marxism.pdf']"
229,2020,Radford et al.,British Politics,"‘Lordy Me!’ Can donations buy you a British peerage? A study in the link between party political funding and peerage nominations, 2005–2014",article,y,y,,,['British Politics/2020 - Radford et al. - ´Lordy Me´ Can Donations Buy You A British peerage.pdf']
230,2018,Bale,Politics,Who leads and who follows? The symbiotic relationship between UKIP and theConservatives – and populism and Euroscepticism,article,y,y,,,['Politics/2018 - Bale - Who leads and who follows_The symbiotic relationship between UKIP and the Conservatives - and populism and Euroscepticism.pdf']
231,2018,Conti,Politics,"National political elites, the EU, and the populist challenge",article,y,y,,,"['Politics/2018 - Conti - National political elites, the EU, and the populist challenge.pdf']"
232,2018,"Gómez-Reino Cachafeiro, Plaza-Colodro",Politics,Populist Euroscepticism in Iberian party systems,article,y,y,,,"['Politics/2018 - Gómez-Reino Cachafeiro, Plaza-Colodro - Populist Euroscepticism in Iberian party systems.pdf']"
233,2018,Ivaldi,Politics,Contesting the EU in times of crisis: The Front National and politics of Euroscepticism in France,article,y,y,,,['Politics/2018 - Ivaldi - Contesting the EU in times of crisis.pdf']
234,2018,Lees,Politics,The ‘Alternative for Germany’: The rise of right-wing populism at the heart of Europe,article,y,y,,,['Politics/2018 - Lees - The ‘Alternative for Germany’_The rise of right-wing populism at the heart of Europe.pdf']
235,2018,Pirro et al.,Politics,The populist politics of Euroscepticism in times of crisis: Comparative conclusions,article,y,y,,,['Politics/2018 - Pirro et al. - The populist politics of Euroscepticism in times of crisis_Comparative conclusions.pdf']
236,2018,"Pirro, Taggart",Politics,The populist politics of Euroscepticism in times of crisis: A framework for analysis,article,y,y,,,"['Politics/2018 - Pirro, Taggart - The populist politics of Euroscepticism in times of crisis.pdf']"
237,2018,"Pirro, van Kessel",Politics,Populist Eurosceptic trajectories in Italy and the Netherlands during the European crises,article,y,y,,,"['Politics/2018 - Pirro, van Kessel - Populist Eurosceptic trajectories in Italy and the Netherlands during the European crises.pdf']"
238,2020,Blunt,Politics,The case for epistocratic republicanism,article,y,y,,,['Politics/2020 - Blunt - The case for epistocratic republicanism.pdf']
239,2020,Chryssogelos,Politics,State transformation and populism: From the internationalized to the neo-sovereign state?,article,y,y,,,['Politics/2020 - Chryssogelos - State transformations and populism.pdf']
240,2020,Van Hauwaert et al.,Politics,The measurement of populist attitudes: Testing cross-national scales using item response theory,article,y,y,,,['Politics/2020 - Van Hauwaert et al. - The measurement of populist attitudes.pdf']
241,2016,Steger,PS: Political Science and Politics,Conditional Arbiters: The Limits of Political Party Infl uence in Presidential Nominations,article,y,y,,,['PS political science and politics journal/2016 - Steger - Conditional Arbiters_The Limits of Political Party Influence in Presidential Nominations.pdf']
242,2016,"Ardoin, Gronke",PS: Political Science and Politics,EDITORS’ CORNER,article,y,y,,není název - populism v textu,"['PS political science and politics journal/2016 - Ardoin, Gronke - editors-corner.pdf']"
243,2019,Lacatus,PS: Political Science and Politics,Populism and the 2016 American Election: Evidence from Official Press Releases and Twitter,article,y,y,,,['PS political science and politics journal/2019 - Lacatus - Populismu and the 2016 American Election.pdf']
244,2017,March,The British Journal of Politics and International Relations,Left and right populism compared: The British case,article,y,y,,,['The British Journal of Politics and International Relations/2017 - March - Left and right populism compared_the British case.pdf']
245,2017,Wilson,The British Journal of Politics and International Relations,"Brexit, Trump and the special relationship",article,y,y,,,"['The British Journal of Politics and International Relations/2017 - Wilson - Brexit, Trump and the special relationship.pdf']"
246,2019,"Giglioli, Baldini",The British Journal of Politics and International Relations,"Kings, jesters, or kingmakers? European populist parties as a microcosm for celebrity politics",article,y,y,,,"['The British Journal of Politics and International Relations/2019 - Giglioli, Baldini - Kings, jesters, or kingmakers_European populist parties as a microcosm for celebrity politics.pdf']"
247,2019,"Watts, Bale",The British Journal of Politics and International Relations,Populism as an intra-party phenomenon: The British Labour Party under Jeremy Corbyn,article,y,y,,,"['The British Journal of Politics and International Relations/2019 - Watts, Bale - Populism as an intra-party phenomenon_The British Labour Party under Jeremy Corbyn.pdf']"
248,2020,"Coticchia, Vignoli",The British Journal of Politics and International Relations,Populist parties and foreign policy: The case of Italy’s Five Star Movement,article,y,y,,,"['The British Journal of Politics and International Relations/2020 - Coticchia, Vignoli - Populist parties and foreign policy_The case of Italy´s Five Star Movement.pdf']"
249,2020,Kriesi,The British Journal of Politics and International Relations,Backlash politics against European integration,article,y,y,,,['The British Journal of Politics and International Relations/2020 - Kriesi - Backlash politics against European integration.pdf']
250,2020,Landwehr,The British Journal of Politics and International Relations,Backlash against the procedural consensus,article,y,y,,,['The British Journal of Politics and International Relations/2020 - Landwehr - Backlash against the procedural consensus.pdf']
251,2020,van Kessel,The British Journal of Politics and International Relations,Eager to leave? Populist radical right parties’ responses to the UK’s Brexit vote,article,y,y,,,['The British Journal of Politics and International Relations/2020 - van Kessel - Eager to leave_Populist radical right parties´ responses to the UK´s Brexit vote.pdf']
252,2011,Bale et al.,Acta Politica,Thrown around with abandon? Popular understandings of populism as conveyed by the print media: A UK case study,article,y,y,,,['Acta Politica/2011 - Bale et al. - Thrown around with abandon_Popular understandings of populism as conveyed by the print media_A UK case study.pdf']
253,2011,"Caiani, della Porta",Acta Politica,The elitist populism of the extreme right: A frame analysis of extreme right-wing discourses in Italy and Germany,article,y,y,,,"['Acta Politica/2011 - Caiani, della Porta - The elitist populism of the extreme right.pdf']"
254,2011,"Ruzza, Fella",Acta Politica,Populism and the Italian right,article,y,y,,,"['Acta Politica/2011 - Ruzza, Fella - Populism and the Italian right.pdf']"
