"year","authors","journal","title","type","pdf?","keywords","keywords_online?","notes"
"2016","Ardoin, Gronke","PS: Political Science and Politics","EDITORS’ CORNER","article","y","y","","není název - populism v textu"
"2019","Lacatus","PS: Political Science and Politics","Populism and the 2016 American Election: Evidence from Official Press Releases and Twitter","article","y","y","",""
"2017","March","The British Journal of Politics and International Relations","Left and right populism compared: The British case","article","y","y","",""
"2017","Wilson","The British Journal of Politics and International Relations","Brexit, Trump and the special relationship","article","y","y","",""
"2019","Giglioli, Baldini","The British Journal of Politics and International Relations","Kings, jesters, or kingmakers? European populist parties as a microcosm for celebrity politics","article","y","y","",""
"2019","Watts, Bale","The British Journal of Politics and International Relations","Populism as an intra-party phenomenon: The British Labour Party under Jeremy Corbyn","article","y","y","",""
"2020","Coticchia, Vignoli","The British Journal of Politics and International Relations","Populist parties and foreign policy: The case of Italy’s Five Star Movement","article","y","y","",""
"2020","Kriesi","The British Journal of Politics and International Relations","Backlash politics against European integration","article","y","y","",""
"2020","Landwehr","The British Journal of Politics and International Relations","Backlash against the procedural consensus","article","y","y","",""
"2020","van Kessel","The British Journal of Politics and International Relations","Eager to leave? Populist radical right parties’ responses to the UK’s Brexit vote","article","y","y","",""
"2011","Bale et al.","Acta Politica","Thrown around with abandon? Popular understandings of populism as conveyed by the print media: A UK case study","article","y","y","",""
"2011","Caiani, della Porta","Acta Politica","The elitist populism of the extreme right: A frame analysis of extreme right-wing discourses in Italy and Germany","article","y","y","",""
"2011","Ruzza, Fella","Acta Politica","Populism and the Italian right","article","y","y","",""
"2011","Rydgren","Acta Politica","A legacy of ‘uncivicness’? Social capital and radical right-wing populist voting in Eastern Europe","article","y","y","",""
"2012","Hakhverdian et al.","Acta Politica","The emergence of a ‘diploma democracy’? The political education gap in the Netherlands, 1971–2010","article","y","y","",""
"2013","Bos et al.","Acta Politica","An experimental test of the impact of style and rhetoric on the perception of right-wing populist and mainstream party leaders","article","y","y","",""
"2014","Spruyt","Acta Politica","An asymmetric group relation? An investigation into public perceptions of education-based groups and the support for populism","article","y","y","",""
"2019","Rico, Anduiza","Acta Politica","Economic correlates of populist attitudes: an analysis of nine european countries in the aftermath of the great recession","article","y","y","",""
"2019","Spierings, Jacobs","Acta Politica","Political parties and social media campaigning A qualitative comparative analysis of parties’ professional Facebook and Twitter use in the 2010 and 2012 Dutch elections","article","y","y","",""
"2020","Hameleers","Acta Politica","Augmenting polarization via social media? A comparative analysis of Trump’s and Wilders’ online populist communication and the electorate’s interpretations surrounding the elections","article","y","y","",""
"2014","Moffitt, Tormey","Political Studies","Rethinking Populism: Politics, Mediatisation and Political Style","article","y","y","",""
"2014","Rooduijn","Political Studies","The Mesmerising Message: The Diffusion of Populism in Public Debates in Western European Media","article","y","y","",""
"2014","Rovira Kaltwasser","Political Studies","The Responses of Populism to Dahl’s Democratic Dilemmas","article","y","y","",""
"2014","Webb, Bale","Political Studies","Why Do Tories Defect to UKIP? Conservative Party Members and the Temptations of the Populist Radical Right","article","y","y","",""
"2015","Gerodimos","Political Studies","The Ideology of Far Left Populism in Greece: Blame,Victimhood and Revenge in the Discourse of Greek Anarchists","article","y","y","",""
"2015","Otjes, Louwerse","Political Studies","Populists in Parliament: Comparing Left-Wing and Right-Wing Populism in the Netherlands","article","y","y","",""
"2016","Aslanidis","Political Studies","Is Populism an Ideology? A Refutation and a New Perspective","article","y","y","",""
"2016","Huber, Schimpf","Political Studies","Friend or Foe? Testing the Influence of Populism on Democratic Quality in Latin America","article","y","y","",""
"2016","McDonnell","Political Studies","Populist Leaders and  Coterie Charisma","article","y","y","",""
"2017","Aitchison","Political Studies","Three Models of Republican Rights: Juridical, Parliamentary and Populist","article","y","y","",""
"2017","Ramiro, Gomez","Political Studies","Radical-Left Populism during the Great Recession: Podemos and Its Competition with the Established Radical Left","article","y","y","",""
"2018","Stoker, Hay","Political Studies","Understanding and Challenging Populist Negativity towards Politics: The Perspectives of British Citizens","article","y","y","",""
"2018","Ruth","Political Studies","Populism and the Erosion of Horizontal Accountability in Latin America","article","y","y","",""
"2018","Schmidt","Political Studies","Drivers of Populism: A Fourcountry Comparison of Party Communication in the Runup to the 2014 European Parliament Elections","article","y","y","",""
"2019","van der Waal, de Koster","Political Studies","Populism and Support for Protectionism: The Relevance of Opposition to Trade Openness for Leftist and Rightist Populist Voting in The Netherlands","article","y","y","",""
"2020","Ibsen","Political Studies","The Populist Conjuncture: Legitimation Crisis in the Age of Globalized Capitalism","article","y","y","",""
"2019","Louwerse, Otjes","Political Studies","How Populists Wage Opposition: Parliamentary Opposition Behaviour and Populism in Netherlands","article","y","y","",""
"2020","De Cleen et al.","Political Studies","The Potentials and Difficulties of Transnational Populism: The Case of the Democracy in Europe Movement 2025 (DiEM25)","article","y","y","",""
"2020","Geurkink et al.","Political Studies","Populist Attitudes, Political Trust, and External Political Efficacy: Old Wine in New Bottles?","article","y","y","",""
"2020","Holliday","Political Studies","Populism, the International and Methodological Nationalism: Global Order and the Iran–Israel Nexus","article","y","y","",""
"2020","Schneiker","Political Studies","Populist Leadership: The Superhero Donald Trump as Savior in Times of Crisis","article","y","y","",""
"2011","Jennings","European Journal of Political Economy","The good, the bad and the populist: A model of political agency with emotional voters","article","y","y","",""
"2012","Binswanger, Prüfer","European Journal of Political Economy","Democracy, populism, and (un)bounded rationality","article","y","y","",""
"2014","Leon","European Journal of Political Economy","Strategic redistribution: The political economy of populism in Latin America","article","y","y","",""
"2018","Chesterleya, Roberti","European Journal of Political Economy","Populism and institutional capture","article","y","y","",""
"2018","Prato, Wolton","European Journal of Political Economy","Rational ignorance, populism, and reform","article","y","y","",""
"2018","Seghezza, Pittaluga","European Journal of Political Economy","Resource rents and populism in resource-dependent economies","article","y","y","",""
"2019","Alabrese et al.","European Journal of Political Economy","Who voted for Brexit? Individual and regional data combined","article","y","y","",""
"2019","Correa-Lopera","European Journal of Political Economy","Demand of direct democracy","article","y","y","",""
"2020","Fornaro, Kaihovaara","European Journal of Political Economy","Microdynamics, granularity and populism: The Finnish case","article","y","y","",""
"2017","Gerbaudo","Social Movement Studies","The indignant citizen: anti-austerity movements in southern Europe and the anti-oligarchic reclaiming of citizenship","article","y","y","",""
"2020","Vergara","The Journal of Political Philosophy","Populism as Plebeian Politics: Inequality, Domination, and Popular Empowerment","article","y","y","y",""
"2015","Berbuir, Lewandowsky, Siri","German Politics","The AfD and its Sympathisers: Finally a Right-Wing Populist Movement in Germany?","article","y","y","",""
"2016","Franzmann","German Politics","Calling the Ghost of Populism: The AfD's Strategic and Tactical Agendas until the EP Election 2014","article","y","y","",""
"2020","Volk","German Politics","‘Wir sind das Volk!’ Representative Claim-Making and Populist Style in the PEGIDA Movement’s Discourse","article","y","y","",""
"2011","Comaroff","the Annals of the American Academy of Political and Social Science","Populism and Late Liberalism: A Special Affinity?","article","y","y","",""
"2016","Azari, Hetherington","the Annals of the American Academy of Political and Social Science","Back to the Future? What the Politics of the Late Nineteenth Century Can Tell Us about the 2016 Election","article","y","y","",""
"2016","Oliver, Rahn","the Annals of the American Academy of Political and Social Science","Rise of the Trumpenvolk: Populism in the 2016 Election","article","y","y","",""
"2019","Andreadis, Stavrakakis","the Annals of the American Academy of Political and Social Science","Dynamics of Polarization in the Greek Case","article","y","y","",""
"2019","McCoy, Somer","the Annals of the American Academy of Political and Social Science","Toward a Theory of Pernicious Polarization and How It Harms Democracies: Comparative Evidence and Possible Remedies","article","y","y","",""
"2019","Somer, McCoy","the Annals of the American Academy of Political and Social Science","Transformations through Polarizations and Global Threats to Democracy","article","y","y","",""
"2013","Casula","Problems of Post-Communism","Sovereign Democracy, Populism, and Depoliticization in Russia","article","y","y","",""
"2013","Gurov, Zankina","Problems of Post-Communism","Populism and the Construction of Political Charisma","article","y","y","",""
"2019","Havlík","Problems of Post-Communism","Technocratic Populism and Political Illiberalism in Central Europe","article","y","y","",""
"2019","Soare, Tufiș","Problems of Post-Communism","Phoenix Populism","article","y","y","",""
"2020","Golosov","Problems of Post-Communism","Useful, but Not Necessarily Idiots","article","y","y","",""
"2016","Sheets et al.","International Journal of Public Opinion Research","Media Cues and Citizen Support for Right-Wing Populist Parties","article","y","y","",""
"2018","Schulz et al.","International Journal of Public Opinion Research","Measuring Populist Attitudes on Three Dimensions","article","y","y","",""
"2020","Wettstein et al.","International Journal of Public Opinion Research","Measuring Populism across Nations: Testing for Measurement Invariance of an Inventory of Populist Attitudes","article","y","y","",""
"2016","Fink-Hafner","Europe-Asia Studies","A Typology of Populisms and Changing Forms of Society: The Case of Slovenia","article","y","y","",""
"2017","Grdešić","Europe-Asia Studies","Images of Populism and Producerism: Political Cartoons from Serbia’s ‘Anti-Bureaucratic Revolution‘","article","y","y","",""
"2019","Mikucka-Wójtowicz","Europe-Asia Studies","The Chameleon Nature of Populist Parties. How Recurring Populism is Luring ‘the People’ of Serbia and Croatia","article","y","y","",""
"2020","Győrffy","Europe-Asia Studies","Financial Crisis Management and the Rise of Authoritarian Populism: What Makes Hungary Different from Latvia and Romania?","article","y","y","",""
"2020","Karmazin, Hynek","Europe-Asia Studies","Russian, US and Chinese Revisionism: Bridging Domestic and Great Power Politics","article","y","y","",""
"2017","Clarke, Newman","Critical Policy Studies","‘People in this country have had enough of experts’: Brexit and the paradoxes of populism","article","y","y","",""
"2020","Al-Astewani","Critical Policy Studies","English responses to Shariah tribunals: a critical assessment of populist attitudes toward Islamic Law","article","y","y","",""
"2020","Butzlaff, Messinger-Zimmer","Critical Policy Studies","Undermining or defending democracy? The consequences of distrust for democratic attitudes and participation","article","y","y","",""
"2014","Siim","Politics & Gender","Political Intersectionality and Democratic Politics in the European Public Sphere","article","y","y","y",""
"2012","Tsoukalis","Global Policy","The Political Economy of the Crisis: The End of an Era?","article","y","y","",""
"2015","Mungiu-Pippidi","Global Policy","Fixing Europe Is About Performance, Not Democracy","article","y","y","",""
"2017","Maier","Global Policy","Democratic Dangers Beyond Borders","article","y","y","",""
"2020","Avgouleas, Trigkas","Global Policy","Alleviating the Thucydides’ Trap through Welfare State Dependence: How the Funding Needs of the Western Welfare State Can Influence Multilateral Relations with China","article","y","y","",""
"2013","Schumacher, Rooduijn","Electoral Studies","Sympathy for the ‘devil’? Voting for populists in the 2006 and 2010 Dutch general elections","article","y","y","",""
"2016","Rooduijn et al.","Electoral Studies","Expressing or fuelling discontent? The relationship between populist voting and political discontent","article","y","y","",""
"2019","Tucker et al.","Electoral Studies","Pathways to trump: Republican voters in 2016","article","y","y","",""
"2020","Bichay","Electoral Studies","Public campaign financing and the rise of radical-right parties","article","y","y","",""
"2020","Kriesi, Schulte-Cloos","Electoral Studies","Support for radical parties in Western Europe: Structural conflicts and political dynamics","article","y","y","",""
"2020","Marcos-Marne et al.","Electoral Studies","Is populism the third dimension? The quest for political alliances in post-crisis Spain","article","y","y","",""
"2015","Leconte","International Political Science Review","From pathology to mainstream phenomenon: Reviewing the Euroscepticism debate in research and theory","article","y","y","",""
"2017","Fraser","International Political Science Review","Post-populism in Zambia: Michael Sata’s rise, demise and legacy","article","y","y","",""
"2017","Hadiz, Chryssogelos","International Political Science Review","Populism in world politics: A comparative cross-regional perspective","article","y","y","",""
"2017","Hadiz, Robison","International Political Science Review","Competing populisms in post-authoritarian Indonesia","article","y","y","",""
"2017","Hewison","International Political Science Review","Reluctant populists: Learning populism in Thailand","article","y","y","",""
"2017","Chryssogelos","International Political Science Review","The people in the ‘here and now’: Populism, modernization and the state in Greece","article","y","y","",""
"2017","Robinson, Milne","International Political Science Review","Populism and political development in hybrid regimes: Russia and the development of official populism","article","y","y","",""
"2020","Biard","International Political Science Review","How do radical right populist parties influence resurging debates over the stripping of citizenship?","article","y","y","",""
"2019","Ingham","Public Choice","Why Arrow’s theorem matters for political theory even if preference cycles never occur","article","y","y","",""
"2019","Potrafke, Roesel","Public Choice","A banana republic? The effects of inconsistencies in the counting of votes on voting behavior","article","y","y","",""
"2020","Foresta","Public Choice","The rise of populist parties in the aftermath of a massive corruption scandal","article","y","y","",""
"2014","Van Ostaijen, Scholten","Comparative European Politics","Policy populism? Political populism and migrant integration policies in Rotterdam and Amsterdam","article","y","y","",""
"2017","Schärdel, König","Comparative European Politics","Professors, comedians and billionaires: An empirical analysis of newspaper coverage of new Eurosceptic parties in three 2013 national elections","article","y","y","",""
"2018","Barrio et al.","Comparative European Politics","‘Spain steals from us!’ The ‘populist drift’ of Catalan regionalism","article","y","y","",""
"2018","Heinisch et al.","Comparative European Politics","Populism and ethno‑territorial politics in European multi‑level systems","article","y","y","",""
"2018","Heinisch, Marent","Comparative European Politics","Sub‑state territorial claims making by a nationwide radical right‑wing populist party: the case of the Austrian Freedom Party","article","y","y","",""
"2018","Ivaldi, Dutozia","Comparative European Politics","The ‘territorialization’ of the Front National’s populist politics in France","article","y","y","",""
"2018","Van Haute et al.","Comparative European Politics","Sub‑state nationalism and populism: the cases of Vlaams Belang, New Flemish Alliance and DéFI in Belgium","article","y","y","",""
"2018","Mazzoleni, Ruzza","Comparative European Politics","Combining regionalism and nationalism: the Lega in Italy and the Lega dei Ticinesi in Switzerland","article","y","y","",""
"2019","Schmidt","Comparative European Politics","The future of differentiated integration: a ‘soft‑core,’ multi‑clustered Europe of overlapping policy communities","article","y","y","",""
"2020","Giglioli","Comparative European Politics","Plutocratic leadership in the electoral arena: three Mitteleuropean cases of personal wealth in politics","article","y","y","",""
"2013","Saffon, Urbinati","Political Theory","Procedural Democracy, the Bulwark of Equal Liberty","article","y","y","",""
"2016","McKean","Political Theory","Toward an Inclusive Populism? On the Role of Race and Difference in Laclau’s Politics","article","y","y","",""
"2016","Flinders","Parliamentary Affairs","The Problem with Democracy","article","y","y","",""
"2016","Wellings, Vines","Parliamentary Affairs","Populism and Sovereignty: The EU Act and the In-Out Referendum, 2010–2015","article","y","y","",""
"2020","Baldini, Giglioli","Parliamentary Affairs","Italy 2018: The Perfect Populist Storm?","article","y","y","",""
"2020","Ehsan, Sloam","Parliamentary Affairs","Resources, Values, Identity: Young Cosmopolitans and the Referendum on British Membership of the European Union","article","y","y","",""
"2017","Aguilar, Carlin","Swiss Political Science Review","Ideational Populism in Chile? A Case Study","article","y","y","",""
"2017","Akkerman et al.","Swiss Political Science Review","‘We the People’ or ‘We the Peoples’? A Comparisonof Support for the Populist Radical Right andPopulist Radical Left in the Netherlands","article","y","y","",""
"2017","Andreadis, Stavrakakis","Swiss Political Science Review","European Populist Parties in Government: How Wellare Voters Represented? Evidence from Greece","article","y","y","",""
"2017","Betz","Swiss Political Science Review","Nativism Across Time and Space","article","y","y","",""
"2017","Bornschier","Swiss Political Science Review","Populist Mobilization Across Time and Space: An Introduction","article","y","y","",""
"2017","Castenho Silva et al.","Swiss Political Science Review","The Elite Is Up to Something: Exploring theRelation Between Populism and Belief in ConspiracyTheories","article","y","y","",""
"2017","Ernst et al.","Swiss Political Science Review","Bipolar Populism? The Use of Anti-Elitism andPeople-Centrism by Swiss Parties on Social Media","article","y","y","y",""
"2017","Hawkins, Rovira Kaltwasser","Swiss Political Science Review","What the (Ideational) Study of Populism Can TeachUs, and What It Can’t","article","y","y","",""
"2017","Huber, Ruth","Swiss Political Science Review","Mind the Gap!Populism, Participation andRepresentation in Europe","article","y","y","",""
"2017","Ivaldi et al.","Swiss Political Science Review","Varieties of Populism across a Left-Right Spectrum:The Case of the Front National, the orthernLeague, Podemos and Five Star Movement","article","y","y","",""
"2017","Manucci, Weber","Swiss Political Science Review","Why The Big Picture Matters: Political and MediaPopulism in Western Europe since the 1970s.","article","y","y","",""
"2018","Ackermann, Zampieri, Freitag","Swiss Political Science Review","Personality and Voting for a Right-Wing Populist Party – Evidence from Switzerland","article","y","y","",""
"2018","Bernhard, Hänggli","Swiss Political Science Review","Who Holds Populist Attitudes? Evidence fromSwitzerland","article","y","y","",""
"2018","Otjes, et al.","Swiss Political Science Review","It’s not Economic Interventionism, Stupid! Reassessing the Political Economy of Radical Right-wing Populist Parties","article","y","y","",""
"2018","Storz, Bernauer","Swiss Political Science Review","Supply and Demand of Populism: A Quantitative Text Analysis of Cantonal SVP Manifestos","article","y","y","",""
"2019","Bogaards et al.","Swiss Political Science Review","The Importance of Consociationalism for Twenty-First Century Politics and Political Science","article","y","y","",""
"2020","Altman","Swiss Political Science Review","Checking Executive Personalism: Collegial Governments and the Level of Democracy","article","y","y","",""
"2016","Huang, Terra","Economics & Politics","Exchange Rate Populism","article","y","y","",""
"2014","Aytaç, Öniş","Comparative Politics","Varieties of Populism in a Changing Global Context The Divergent Paths of Erdoğan and Kirchnerismo","article","y","y","y",""
"2018","Fish","Comparative Politics","What Has Russia Become?","article","y","y","y",""
"2019","Alberti","Comparative Politics","Populist Multiculturalism in the Andes: Balancing Political Control and Societal Autonomy","article","y","y","y",""
"2019","Van Dyck","Comparative Politics","Why Not Anti-Populist Parties? Theory with Evidence from the Andes and Thailand","article","y","y","y",""
"2017","Corduwener","European Political Science","research note: integrating contemporary populism with the history of democracy in Western Europe","article","y","y","","nevim, jestli je to ok, když se jedná o debaty a taky nevim co se symposii"
"2019","Bobba","European Political Science","Social media populism_features and likeability of Lega Nord communication on Facebook","article","y","y","",""
"2019","Kioupkiolis, Pérez","European Political Science","Reflexive technopopulism: Podemos and the search for a new left-wing hegemony","article","y","y","",""
"2020","Rios Millett McCartney","European Political Science","The rise of populism and teaching for democracy: our professional obligations","article","y","y","",""
"2019","Salgado","European Political Science","Where´s populism? Online media and the diffusion of populist discourses and styles in Portugal","article","y","y","",""
"2019","Salgado, Stavrakakis","European Political Science","Introduction: populist discourses and political communication in Southern Europe","article","y","y","",""
"2019","Stavrakakis, Katsambekis","European Political Science","The populism/anti-populism frontier and its mediation in crisis-ridden Greece: from discursive divide to emerging cleavage?","article","y","y","",""
"2020","Blair, Stockemer","European Political Science","Teaching politics in an era of Trump","article","y","y","",""
"2020","Engeli","European Political Science","Gender and sexuality research in the age of populism: lessons for political science","article","y","y","",""
"2018","Van Klinken","Citizenship Studies","Citizenship and local practices of rule in Indonesia","article","y","y","",""
"2019","Jones","SURVIVAL","Populism in Europe: What Scholarship Tells Us","editorial","y","y","y",""
"2020","Miao","Contemporary Politics","Can China be populist? Grassroot populist narratives in the Chinese cyberspace","article","y","y","",""
"2017","Pirro, van Kessel","Journal of European Integration","United in opposition? The populist radical right’s EU-pessimism in times of crisis","article","y","y","",""
"2019","Borriello, Brack","Journal of European Integration","‘I want my sovereignty back!’ A comparative analysis of the populist discourses of Podemos, the 5 Star Movement, the FN and UKIP during the economic and migration crises","article","y","y","",""
"2014","Rooduijn","Nations and Nationalism","Vox populismus: a populist radical right attitude among the public?","article","y","y","",""
"2017","Breuilly et al.","Nations and Nationalism","Editorial","editorial","y","y","","editorial nemá název - populism v textu"
"2018","Stone, Christodoulaki","Nations and Nationalism","Nebulous nationalism: Walker Connor in an era of rising populism","article","y","y","",""
"2019","Bonikowski et al.","Nations and Nationalism","Populism and nationalism in a comparative perspective: a scholarly exchange","article","y","y","",""
"2019","Breuilly et al.","Nations and Nationalism","Editorial","editorial","y","y","","editorial nemá název - populism v textu"
"2019","Brubaker","Nations and Nationalism","Populism and nationalism","article","y","y","",""
"2020","De Cleen, Stavrakakis","Nations and Nationalism","How should we analyze the connections between populism and nationalism: A response to Rogers rubaker","article","y","y","",""
"2013","Rupnik, Zielonka","East European Politics and Societies","Introduction: The State of Democracy 20 Years on: Domestic and External Factors","article","y","y","",""
"2014","Tismaneanu","East European Politics and Societies","Understanding 1989: The Revolutionary Tradition Revisited","article","y","y","",""
"2017","Buzalka","East European Politics and Societies","Post-peasant Memories Populist or Communist Nostalgia","article","y","y","",""
"2018","Stanley","East European Politics and Societies","A New Populist Divide? Correspondences of Supply and Demand in the 2015 Polish Parliamentary Elections","article","y","y","",""
"2019","Kotwas, Kubik","East European Politics and Societies","Symbolic Thickening of Public Culture and the Rise of Right-Wing Populism in Poland","article","y","y","",""
"2019","Lewis","East European Politics and Societies","Introduction: Poland’s Wars of Symbols","article","y","y","",""
"2019","Van Eeden","East European Politics and Societies","Discover, Instrumentalize, Monopolize: Fidesz’s Three-Step Blueprint for a Populist Take-over of Referendums","article","y","y","",""
"2020","Bernhard et al.","East European Politics and Societies","Weasel Words and the Analysis of “Postcommunist” Politics: A Symposium","article","y","y","",""
"2020","Petrova, Inglot","East European Politics and Societies","Introduction: Politics and Current Challenges of Demography in Central and Eastern Europe","article","y","y","",""
"2020","Waterbury","East European Politics and Societies","Populist Nationalism and the Challenges of Divided Nationhood: The Politics of Migration, Mobility, and Demography in Post-2010 Hungary","article","y","y","",""
"2012","Kuzio","Journal of Contemporary European Studies","Democratic Revolutions from a Different Angle: Social Populism and National Identity in Ukraine's 2004 Orange Revolution","article","y","y","",""
"2013","Fella, Ruzza","Journal of Contemporary European Studies","Populism and the Fall of the Centre-Right in Italy: The End of the Berlusconi Model or a New Beginning?","article","y","y","",""
"2013","Bale","Journal of Contemporary European Studies","More and More Restrictive—But Not Always Populist: Explaining Variation in the British Conservative Party's Stance on Immigration and Asylum","article","y","y","",""
"2017","MacMillan","Journal of Contemporary European Studies","Welcome to the carnival? Podemos, populism and Bakhtin’s carnivalesque","article","y","y","",""
"2018","Sola, Rendueles","Journal of Contemporary European Studies","Podemos, the upheaval of Spanish politics and the challenge of populism","article","y","y","",""
"2018","MacMillan","Journal of Contemporary European Studies","Reversing the Myth? Dystopian narratives of the EU in UKIP and front national discourse","article","y","y","",""
"2018","Palonen","Journal of Contemporary European Studies","Performing the nation: the Janus-faced populist foundations of illiberalism in Hungary","article","y","y","",""
"2018","Pirro","Journal of Contemporary European Studies","The polyvalent populism of the 5 Star Movement","article","y","y","",""
"2019","Ribera Payá","Journal of Contemporary European Studies","Measuring Populism in Spain: content and discourse analysis of Spanish Political Parties","article","y","y","",""
"2019","Yilmaz","Journal of Contemporary European Studies","Post-truth politics in the 2017 Euro-Turkish crisis","article","y","y","",""
"2020","Diesen","Journal of Contemporary European Studies","Russia as an international conservative power: the rise of the right-wing populists and their affinity towards Russia","article","y","y","",""
"2020","Vampa","Journal of Contemporary European Studies","Competing forms of populism and territorial politics: the cases of Vox and Podemos in Spain","article","y","y","",""
"2014","van Kessel","Journal of Political Ideologies","The populist cat-dog: applying the concept of populism to contemporary European party systems","article","y","y","",""
"2014","Stavrakakis, Katsambekis","Journal of Political Ideologies","Left-wing populism in the European periphery: the case of SYRIZA","article","y","y","",""
"2015","Filc","Journal of Political Ideologies","Latin American inclusive and European exclusionary populism: colonialism as an explanation","article","y","y","",""
"2015","Poblete","Journal of Political Ideologies","How to assess populist discourse through three current approaches","article","y","y","",""
"2016","de la Torre","Journal of Political Ideologies","Populism and the politics of the extraordinary in Latin America","article","y","y","",""
"2016","Enyedi","Journal of Political Ideologies","Paternalist populism and illiberal elitism in Central Europe","article","y","y","",""
"2016","Kioupkiolis","Journal of Political Ideologies","Podemos: the ambiguous promises of left-wing populism in contemporary Spain","article","y","y","",""
"2017","Kenny","Journal of Political Ideologies","Back to the populist future?: understanding nostalgia in contemporary ideological discourse","article","y","y","",""
"2017","Johnson","Journal of Political Ideologies","In search of a leftist democratic imaginary: what can theories of populism tell us?","article","y","y","",""
"2018","Elmgren","Journal of Political Ideologies","The double-edged sword: the political appropriation of the concept of populism","article","y","y","",""
"2019","Laycock","Journal of Political Ideologies","Tax revolts, direct democracy and representation: populist politics in the US and Canada","article","y","y","",""
"2020","Dean, Maiguashca","Journal of Political Ideologies","Did somebody say populism? Towards a renewal and reorientation of populism studies","article","y","y","",""
"2020","Drolet, Williams","Journal of Political Ideologies","America first: paleoconservatism and the ideological struggle for the American right","article","y","y","",""
"2020","Göpffarth","Journal of Political Ideologies","Rethinking the German nation as German Dasein: intellectuals and Heidegger’s philosophy in contemporary German New Right nationalism","article","y","y","",""
"2020","Sørensen","Journal of Political Ideologies","Right-wing Euroscepticism and populism: investigating the concept of ‘the people’","article","y","y","",""
"2012","Vatter","Contemporary Political Theory","The quarrel between populism and republicanis","article","y","y","",""
"2018","Stavrakakis et al.","Contemporary Political Theory","Populism, anti-populism and crisis","article","y","y","",""
"2020","Kim","Contemporary Political Theory","Radical democracy and left populism after the squares: ‘Social Movement’ (Ukraine), Podemos (Spain), and the question of organization","article","y","y","",""
"2020","Peetz","Contemporary Political Theory","Legitimacy as a zero-sum game: Presidential populism and the performative success of the unauthorized outsider","article","y","y","",""
"2018","von Holdt","Review of African Political Economy","South Africa: the transition to violent democracy","article","y","y","",""
"2013","Melber","Review of African Political Economy","Populism in Southern Africa under liberation movements as governments","article","y","y","",""
"2020","Hix","Irish Political Studies","Remaking democracy: Ireland as a role-model the 2019 Peter Mair lecture","article","y","y","",""
"2019","Young et al.","Social Science Quarterly","Explaining Trump’s Popular Support: Validation of a Nativism Index","article","y","y","",""
"2020","Guan, Yang","Social Science Quarterly","Diversifying Conspiracy Beliefs and Populist Ideologies in the Chinese Context","article","y","y","",""
"2019","Patapan","Canadian Journal of Political Science/Revue canadienne de science politique","On Populists and Demagogues","article","y","y","",""
"2014","Wear","Australian Journal of Political Science","Astroturf and populism in Australia: The Convoy of No Confidence","article","y","y","",""
"2019","Maddox","Australian Journal of Political Science","Karl Loewenstein, Max Lerner, and militant democracy: an appeal to ‘strong democracy","article","y","y","",""
"2012","Crozier, Little","Australian Journal of Political Science","Democratic Voice: Popular Sovereignty in Conditions of Pluralisation","article","y","y","",""
"2020","Head, Banerjee","Australian Journal of Political Science","Policy expertise and use of evidence in a populist era","article","y","y","",""
"2011","Motta","Latin American Perspectives","Populism’s Achilles’ Heel: Popular Democracy beyond the Liberal State and the Market Economy in Venezuela","article","y","y","",""
"2013","Becker","Latin American Perspectives","The Stormy Relations between Rafael Correa and Social Movements in Ecuador","article","y","y","",""
"2014","Brading","Latin American Perspectives","From Passive to Radical Revolution in Venezuela’s Populist Project","article","y","y","",""
"2018","Becerra, Wagner","Latin American Perspectives","Crisis of Representation and New Media Policies in Latin America","article","y","y","",""
"2018","Goldstein","Latin American Perspectives","The Press and Classical Populism in Argentina and Brazil","article","y","y","",""
"2019","Ellner","Latin American Perspectives","Class Strategies in Chavista Venezuela: Pragmatic and Populist Policies in a Broader Context","article","y","y","",""
"2020","Boito","Latin American Perspectives","Lulism, Populism, and Bonapartism","article","y","y","",""
"2020","Monedero","Latin American Perspectives","Postdemocracy, Postpolitics, and Populism: Fresh Political Thinking and Podemos","article","y","y","",""
"2011","Stanley","Communist and Post-Communist Studies","Populism, nationalism, or national populism? An analysis of Slovak voting behaviour at the 2010 parliamentary election","article","y","y","",""
"2012","Worger","Communist and Post-Communist Studies","A mad crowd: Skinhead youth and the rise of nationalism in post-communist Russia","article","y","y","",""
"2016","Kluknavská, Smolík","Communist and Post-Communist Studies","We hate them all? Issue adaptation of extreme right parties in Slovakia 1993-2016","article","y","y","",""
"2020","Schoenman","Communist and Post-Communist Studies","Old Wine in New Bottles? New Parties and Policy Responses to the Great Financial Crisis in the Balkans","article","n","y","","NEJDE STÁHNOUT - NEMÁM PŘÍSTUP"
"2015","Dostal","The Political Quarterly","The Pegida Movement and German Political Culture: Is Right-Wing Populism Here to Stay?","article","y","y","",""
"2016","Bogdanor","The Political Quarterly","The British General Election of 2015 and the Rise of the Meritocracy","article","y","y","",""
"2016","Crouch","The Political Quarterly","The March Towards Post-Democracy, Ten Years On","article","y","y","",""
"2017","Hain","The Political Quarterly","Signposts to the 2020s","article","y","y","",""
"2017","Katsambekis","The Political Quarterly","The Populist Surge in Post-Democratic Times: Theoretical and Political Challenges","article","y","y","",""
"2017","Yarrow","The Political Quarterly","Progressive Responses to Populism: A Polanyian Critique of Liberal Discourse","article","y","y","",""
"2018","Hampshire","The Political Quarterly","The Measure of a Nation","article","y","y","",""
